Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Developer,Rating
30.0,2016.0,0.0,85.0,0.01,0.0,0.0,0.0,0.02,62.6,41.8,98.4,222.0,5.0
19.0,2010.0,0.0,277.0,0.09,0.13,0.01,0.07,0.3,73.0,28.0,43.0,300.0,5.0
27.0,2013.0,10.0,361.0,0.35,0.23,0.21,0.05,0.85,72.0,19.0,72.0,1020.0,1.0
13.0,2001.0,7.0,548.0,1.03,0.02,0.0,0.0,1.06,87.0,21.0,639.0,218.0,5.0
19.0,2007.0,3.0,458.0,0.33,0.25,0.07,0.16,0.81,86.0,60.0,102.0,1240.0,1.0
4.0,2009.0,3.0,361.0,0.17,0.18,0.2,0.04,0.59,82.0,53.0,39.0,735.0,1.0
10.0,2000.0,0.0,85.0,0.14,0.03,0.05,0.0,0.22,68.4,17.6,97.2,416.0,5.8
6.0,2001.0,3.0,277.0,0.0,0.0,0.4,0.01,0.41,74.4,14.8,46.8,791.6,4.6
16.0,2002.0,10.0,53.0,1.06,0.08,0.0,0.18,1.32,93.0,20.0,25.0,1606.0,1.0
15.0,2000.0,10.0,143.0,0.1,0.07,0.0,0.01,0.18,60.0,5.0,67.8,200.0,1.0
4.0,2007.0,5.0,21.0,0.02,0.0,0.0,0.0,0.02,66.4,13.8,10.0,1374.4,1.4
20.0,2015.0,7.0,349.0,0.0,0.03,0.37,0.01,0.41,61.0,19.8,16.0,1304.0,7.0
4.0,2009.0,9.0,6.0,0.07,0.0,0.0,0.0,0.08,70.0,15.4,9.0,27.0,1.0
15.0,1998.0,10.0,277.0,0.0,0.0,0.75,0.05,0.81,75.2,9.6,79.2,809.6,3.4
7.0,2004.0,0.0,139.0,0.29,0.08,0.0,0.01,0.38,67.0,22.0,8.0,439.0,1.0
4.0,2007.0,1.0,491.0,0.1,0.0,0.0,0.01,0.1,52.6,8.6,145.2,1629.0,1.0
6.0,2004.0,7.0,473.0,0.07,0.03,0.0,0.0,0.1,76.0,26.0,21.0,1382.0,7.0
